State,Handgun,Long Gun,Other,Date
Alabama,19460,13396,1331,Feb-24
Alaska,2389,1950,280,Feb-24
Arizona,19510,10017,1793,Feb-24
Arkansas,8129,6348,564,Feb-24
California,43666,18501,3653,Feb-24
Colorado,16240,10343,1785,Feb-24
Connecticut,5843,2185,304,Feb-24
Delaware,2042,1144,144,Feb-24
District of Columbia,259,14,2,Feb-24
Florida,61970,25567,5861,Feb-24
Georgia,19887,10017,1098,Feb-24
Guam,129,62,6,Feb-24
Hawaii,0,0,0,Feb-24
Idaho,5463,4657,638,Feb-24
Illinois,30147,12033,1050,Feb-24
Indiana,22259,12743,1914,Feb-24
Iowa,3422,3122,193,Feb-24
Kansas,7298,5643,677,Feb-24
Kentucky,12031,9105,722,Feb-24
Louisiana,11176,6805,714,Feb-24
Maine,4539,3495,344,Feb-24
Mariana Islands,13,8,0,Feb-24
Maryland,8630,5909,151,Feb-24
Massachusetts,5643,3291,2400,Feb-24
Michigan,20548,17407,2284,Feb-24
Minnesota,11117,10395,1157,Feb-24
Mississippi,9859,6665,489,Feb-24
Missouri,20055,15320,2044,Feb-24
Montana,3966,3929,350,Feb-24
Nebraska,168,1751,29,Feb-24
Nevada,5420,2466,396,Feb-24
New Hampshire,8559,3039,709,Feb-24
New Jersey,8636,4163,899,Feb-24
New Mexico,7728,4763,716,Feb-24
New York,10823,10599,1108,Feb-24
North Carolina,28099,12371,1424,Feb-24
North Dakota,2057,2526,181,Feb-24
Ohio,27308,15419,2014,Feb-24
Oklahoma,13265,9140,1435,Feb-24
Oregon,14138,10594,1554,Feb-24
Pennsylvania,43625,22257,49,Feb-24
Puerto Rico,3395,285,47,Feb-24
Rhode Island,1203,672,80,Feb-24
South Carolina,12162,6157,798,Feb-24
South Dakota,2186,2665,165,Feb-24
Tennessee,29244,17197,1787,Feb-24
Texas,63869,31730,4617,Feb-24
Utah,5319,4602,947,Feb-24
Vermont,1810,1682,122,Feb-24
Virgin Islands,55,5,0,Feb-24
Virginia,26310,16503,4305,Feb-24
Washington,12001,5854,487,Feb-24
West Virginia,5660,5525,333,Feb-24
Wisconsin,17415,13632,1028,Feb-24
Wyoming,2284,2151,256,Feb-24
Alabama,16299,13515,1440,Jan-24
Alaska,2019,1742,333,Jan-24
Arizona,18147,9829,1886,Jan-24
Arkansas,5986,6506,595,Jan-24
California,41266,18039,3760,Jan-24
Colorado,14796,9590,1661,Jan-24
Connecticut,5398,2167,285,Jan-24
Delaware,2083,1147,123,Jan-24
District of Columbia,278,11,0,Jan-24
Florida,60122,26324,5881,Jan-24
Georgia,16624,10426,1251,Jan-24
Guam,135,60,12,Jan-24
Hawaii,0,0,0,Jan-24
Idaho,4642,4214,677,Jan-24
Illinois,23697,10299,941,Jan-24
Indiana,19067,12421,2134,Jan-24
Iowa,2624,2550,278,Jan-24
Kansas,5558,5445,740,Jan-24
Kentucky,9398,7997,713,Jan-24
